name,positions,rating,nationality,club,league
Michael Anderson,CB,79,Egypt,Barcelona,La Liga
Santiago Nowak,LB;CB;RW,75,Egypt,LA Galaxy,MLS
Mário Davis,RWB;RM;RW,81,Belgium,Feyenoord,Eredivisie
Anthony Yılmaz,RB,65,Italy,Sparta Rotterdam,Eredivisie
Josiah Rivera,RWB;CB;LWB,67,Belgium,Antalyaspor,Süper Lig
Wyatt White,RM,65,Italy,Toronto FC,MLS
Thomas Anderson,CB,85,Cameroon,Athletic Club,La Liga
François Hill,LW;LWB,69,Paraguay,Sivasspor,Süper Lig
Alexander Robinson,RW,91,South Korea,Monchengladbach,Bundesliga
Nicolás Sanchez,RB,85,Algeria,West Ham United,Premier League
Mason Mitchell,RWB,77,Mexico,Napoli,Serie A
Thomas Lopez,ST,83,Turkey,Al Wehda,SPL
Mason Kaya,LM,80,Japan,AZ Alkmaar,Eredivisie
Levi Moore,ST;LB,70,France,Al Fateh,SPL
Jayden Williams,RB;CM,87,Sweden,Barcelona,La Liga
Caleb Lewis,RM;CAM,89,Croatia,Athletic Club,La Liga
Matthew Davis,ST,65,Portugal,Napoli,Serie A
Joseph Anderson,CDM;CAM,88,Peru,Wolfsburg,Bundesliga
Anthony Young,LWB;LM,66,China,Al Shabab,SPL
Mateo White,CDM,74,Paraguay,Aston Villa,Premier League
Mateo Rivera,RW,88,Belgium,Lyon,Ligue 1
Thomas Pereira,CDM,72,Peru,Valencia,La Liga
David Nguyen,LM;RWB,86,Australia,Tianjin Jinmen Tiger,CSL
Dylan Kowalski,RB,90,Brazil,Wuhan Three Towns,CSL
Liam Perez,RM;CB,89,Norway,Lyon,Ligue 1
Santiago Baker,RM,73,Paraguay,Aston Villa,Premier League
William Ramirez,LB,88,Netherlands,Zhejiang,CSL
James Thomas,LW,90,Sweden,Girona,La Liga
Łukasz Wright,RM,78,Ukraine,West Ham United,Premier League
Sebastian Clark,LM;RWB,70,Paraguay,Torino,Serie A
Joseph Ferreira,GK,82,Ghana,Wolfsburg,Bundesliga
Owen Gonzalez,ST,87,Croatia,Al Ettifaq,SPL
Ryan Roberts,LM,91,Netherlands,Manchester City,Premier League
Oliver Rossi,GK,78,Algeria,Austin FC,MLS
İbrahim Martinez,RW,79,Ghana,Ajax,Eredivisie
John Brown,GK,76,Tunisia,Trabzonspor,Süper Lig
Carter Şahin,GK,88,Italy,Atalanta,Serie A
Jayden Aydın,LB;CAM,84,Paraguay,Valencia,La Liga
André Taylor,LW,88,Italy,LA Galaxy,MLS
Ryan Lee,ST,66,Ghana,Lyon,Ligue 1
Theodore Lee,GK,66,Germany,Al Riyadh,SPL
João Smith,RWB,91,Turkey,Fenerbahçe,Süper Lig
Isaac Doğan,LM;CAM,72,Egypt,Austin FC,MLS
William Kowalski,LB;LWB,75,Egypt,Sivasspor,Süper Lig
Rúben Young,LW,81,Argentina,Girona,La Liga
Luke Hernandez,RB,88,Algeria,Barcelona,La Liga
Caleb Torres,LB;CDM,89,Ukraine,Arsenal,Premier League
Owen Smith,ST;LWB,69,Netherlands,Roma,Serie A
Michael Şahin,LM,74,Chile,AZ Alkmaar,Eredivisie
Henry White,CM;RW,77,Egypt,Al Hilal,SPL
Çağlar Torres,CAM;RWB,86,Italy,Lyon,Ligue 1
Logan Carter,GK,85,Morocco,Newcastle United,Premier League
Grayson Walker,ST,84,Brazil,Aston Villa,Premier League
Charles Green,CM,69,Australia,Real Madrid,La Liga
Santiago Taylor,RB;LWB,69,Canada,Monaco,Ligue 1
Caleb Thompson,CDM,74,Paraguay,Sivasspor,Süper Lig
Owen Ramirez,RB,79,Russia,Union Berlin,Bundesliga
Mário Martin,GK,89,Netherlands,Barcelona,La Liga
Noah Nguyen,CDM,65,Cameroon,Shanghai Shenhua,CSL
Benjamin Campbell,ST,90,Nigeria,Antalyaspor,Süper Lig
Carter Kowalski,CAM;CB,77,Turkey,Al Shabab,SPL
Luke Çelik,LM,70,USA,Austin FC,MLS
Santiago Çelik,CAM,82,Italy,Manchester City,Premier League
John Flores,CAM,77,Paraguay,Lyon,Ligue 1
James Kaya,LB;ST,83,Argentina,Inter Miami,MLS
Owen Roberts,ST,78,Norway,Lille,Ligue 1
Ezra Robinson,GK,89,China,Borussia Dortmund,Bundesliga
Owen Thompson,RB;RM,85,Sweden,Atlanta United,MLS
André Clark,RM;CDM,87,Argentina,Atlanta United,MLS
Owen Aydın,RM,78,Tunisia,Al Ahli,SPL
Nicolás Aydın,LM,78,Japan,Groningen,Eredivisie
Santiago Silva,RM;CAM,85,England,Austin FC,MLS
Aiden Sanchez,LM;LB,83,Cameroon,Sevilla,La Liga
David Thompson,GK,68,Tunisia,Valencia,La Liga
Hudson Mitchell,ST,72,Morocco,Arsenal,Premier League
André Brown,RW,88,China,Al Shabab,SPL
Caleb Baker,GK,78,Peru,Shandong Taishan,CSL
Michael Nowak,CM,67,Egypt,Al Fateh,SPL
Jack Flores,RWB,73,Netherlands,Bayer Leverkusen,Bundesliga
Oliver Thompson,LB;CM,86,Denmark,Antalyaspor,Süper Lig
Aiden White,CB;RW,75,France,LA Galaxy,MLS
João Martin,RW;RWB,85,Portugal,Athletic Club,La Liga
Henry Campbell,RW,81,Peru,Başakşehir,Süper Lig
Daniel White,CM,76,Ukraine,PSV,Eredivisie
Luke Taylor,ST,65,Egypt,Galatasaray,Süper Lig
Nicolás Campbell,CAM;CM,89,Brazil,Tottenham Hotspur,Premier League
Asher Flores,CDM,83,Poland,Manchester City,Premier League
Logan Hall,GK,85,Poland,Ajax,Eredivisie
Gabriel Torres,RWB,79,Ukraine,Atletico Madrid,La Liga
Michael Kılıç,GK,85,Poland,Chicago Fire,MLS
André Rivera,CDM,90,Denmark,Beşiktaş,Süper Lig
Michael King,LW;LM,77,Chile,Twente,Eredivisie
Grayson Wilson,RWB;RW,87,Colombia,Galatasaray,Süper Lig
Nicolás Pereira,RM,85,Chile,Tianjin Jinmen Tiger,CSL
James Brown,GK,74,Paraguay,Kayserispor,Süper Lig
Jacob Öztürk,RB,66,Spain,Beijing Guoan,CSL
François Green,RM;RB;CM,87,Serbia,Villarreal,La Liga
Wyatt Perez,RWB;RM,65,Peru,Tianjin Jinmen Tiger,CSL
Benjamin Kowalski,GK,91,China,Chelsea,Premier League
İbrahim Adams,GK,75,South Korea,Union Berlin,Bundesliga
